UTC_Date,Profundity,Magnitude,Date,Hour,Location,Latitude,Longitude
2011-02-27 18:53:20,103 km,2.8 Ml,2011-02-27,15:53:20,30 km al SE de Pica,-20.726,-69.194
2015-09-22 13:17:22,25 km,4.5 Ml,2015-09-22,10:17:22,44 km al SO de Los Vilos,-32.236,-71.770
2018-03-16 12:28:53,102 km,2.6 Ml,2018-03-16,09:28:53,15 km al NE de Calama,-22.352,-68.850
2018-01-25 10:07:02,38 km,2.7 Ml,2018-01-25,07:07:02,34 km al O de Punitaqui,-30.838,-71.612
2013-07-12 23:04:27,110 km,2.9 Ml,2013-07-12,19:04:27,32 km al S de Calama,-22.740,-68.836
2012-10-15 15:26:31,40 km,2.5 Ml,2012-10-15,12:26:31,33 km al N de Mendoza,-32.590,-68.880
2015-06-06 07:49:20,59 km,3.0 Ml,2015-06-06,04:49:20,36 km al N de La Ligua,-32.130,-71.250
2017-10-19 20:48:35,126 km,3.0 Ml,2017-10-19,17:48:35,77 km al NE de Calama,-21.880,-68.534
2019-12-08 20:24:54,52 km,3.7 Ml,2019-12-08,17:24:54,35 km al SO de Melipilla,-33.933,-71.456
2020-06-28 09:30:11,225 km,3.2 Ml,2020-06-28,05:30:11,157 km al O de San Fernando del Valle,-27.881,-67.238
2019-12-01 07:17:53,51 km,3.3 Ml,2019-12-01,04:17:53,36 km al NE de Huasco,-28.207,-70.998
2012-07-20 08:43:14,45 km,3.6 Ml,2012-07-20,04:43:14,77 km al SO de Alto Hospicio,-20.824,-70.552
2010-03-08 14:46:44,25 km,3.7 Ml,2010-03-08,11:46:44,40 km al O de Navidad,-34.027,-72.256
2019-04-13 05:51:52,25 km,2.6 Ml,2019-04-13,01:51:52,24 km al N de ValparaÃ­so,-32.833,-71.606
2014-01-24 20:22:38,133 km,3.4 Ml,2014-01-24,17:22:38,43 km al S de San Pedro de Atacama,-23.304,-68.258
2020-10-17 06:34:37,18 km,2.7 Ml,2020-10-17,03:34:37,45 km al S de Los Vilos,-32.296,-71.661
2017-04-25 03:27:13,27 km,3.6 Ml,2017-04-25,00:27:13,43 km al O de ValparaÃ­so,-33.042,-72.078
2003-08-08 07:52:44,116 km,4.6 Ml,2003-08-08,03:52:44,67 km al S de Alto del Carmen,-29.334,-70.282
2010-06-05 22:14:41,42 km,3.6 Ml,2010-06-05,18:14:41,23 km al NE de Vichuquén,-34.727,-71.825
2019-06-15 09:56:40,29 km,2.8 Ml,2019-06-15,05:56:40,24 km al O de ValparaÃ­so,-33.054,-71.876
2021-09-28 22:38:39,136 km,2.9 Ml,2021-09-28,19:38:39,32 km al NO de Ollagüe,-21.105,-68.531
2010-03-14 03:45:53,17 km,3.4 Ml,2010-03-14,00:45:53,24 km al SE de Pichilemu,-34.574,-71.882
2010-04-25 01:42:12,145 km,4.2 Ml,2010-04-24,21:42:12,24 km al S de Mina Collahuasi,-21.039,-68.596
2016-10-19 23:43:14,105 km,3.2 Ml,2016-10-19,20:43:14,31 km al NO de Mina Collahuasi,-20.640,-68.882
2008-09-18 11:28:37,4 km,2.3 Ml,2008-09-18,07:28:37,12 km al NE de Chaitén,-42.819,-72.662
2009-07-07 16:46:15,72 km,5.4 Ml,2009-07-07,12:46:15,68 km al S de Alto del Carmen,-29.372,-70.502
