UTC_Date,Profundity,Magnitude,Date,Hour,Location,Latitude,Longitude
2016-12-25 18:01:18,42 km,3.8 Ml,2016-12-25,15:01:18,52 km al NO de Melinka,-43.643,-74.284
2004-08-15 17:47:06,60 km,3.0 Mc,2004-08-15,13:47:06,35 km al SE de Cauquenes,-36.141,-71.990
2019-11-28 15:55:45,58 km,2.8 Ml,2019-11-28,12:55:45,19 km al SO de Talca,-35.547,-71.819
2014-08-27 01:53:31,29 km,3.0 Ml,2014-08-26,21:53:31,89 km al SO de Iquique,-20.608,-70.895
2019-12-04 19:40:15,7 km,3.7 Ml,2019-12-04,16:40:15,282 km al SO de Melinka,-45.457,-76.553
2024-01-06 07:50:47,104 km,2.6 Ml,2024-01-06,04:50:47,35 km al S de Calama,-22.785,-68.950
2020-07-23 13:19:25,98 km,4.2 Mw,2020-07-23,09:19:25,32 km al S de Moquegua,-17.468,-71.036
2005-11-14 04:06:50,98 km,2.9 Mc,2005-11-14,01:06:50,68 km al NE de Los Andes.,-32.370,-70.120
2010-12-22 21:26:41,100 km,2.3 Ml,2010-12-22,18:26:41,55 km al E de Quillagua,-21.525,-69.027
2007-10-11 17:08:23,155 km,3.6 Ml,2007-10-11,13:08:23,24 km al NE de San Juan,-31.339,-68.397
2007-11-09 16:42:22,8 km,1.6 Ml,2007-11-09,13:42:22,24 km al N de Farellones,-33.146,-70.227
2021-10-20 22:49:16,51 km,3.1 Ml,2021-10-20,19:49:16,10 km al O de La Serena,-29.898,-71.359
2023-07-23 15:32:52,10 km,3.9 Ml,2023-07-23,11:32:52,156 km al O de Canela Baja,-31.341,-73.101
2000-09-20 12:42:30,20 km,4.3 Mc,2000-09-20,08:42:30,74 km al O de Los Vilos,-31.686,-72.249
2005-12-10 11:49:00,15 km,3.7 Ml,2005-12-10,08:49:00,45 km al O de La Ligua,-32.560,-71.692
2013-03-03 19:38:35,36 km,3.4 Ml,2013-03-03,16:38:35,130 km al NO de Constitución,-34.625,-73.546
2021-10-04 03:41:25,218 km,3.2 Ml,2021-10-04,00:41:25,88 km al SE de Socaire,-24.295,-67.492
2020-08-27 10:33:47,124 km,3.7 Ml,2020-08-27,06:33:47,112 km al N de El Salvador,-25.288,-69.246
2020-09-01 22:45:38,20 km,2.7 Ml,2020-09-01,18:45:38,55 km al N de Huasco,-27.973,-71.306
2010-04-04 08:00:05,44 km,3.3 Ml,2010-04-04,04:00:05,63 km al O de Cobquecura,-36.228,-73.482
2010-01-06 09:26:52,33 km,4.6 Ml,2010-01-06,06:26:52,92 km al SO de Caldera,-27.507,-71.614
2006-02-05 13:27:49,12 km,3.2 Mc,2006-02-05,10:27:49,32 km al NO de El Tabo,-33.305,-71.968
2014-04-05 19:09:32,40 km,3.7 Ml,2014-04-05,16:09:32,49 km al SO de Pisagua,-19.796,-70.636
2008-03-01 18:47:23,104 km,2.9 Ml,2008-03-01,15:47:23,18 km al NO de Termas del Flaco,-34.875,-70.606
2004-05-08 15:42:11,4 km,1.9 Ml,2004-05-08,11:42:11,20 km al N de Farellones,-33.171,-70.273
2012-07-21 19:13:22,34 km,3.5 Ml,2012-07-21,15:13:22,26 km al NO de Antofagasta,-23.430,-70.515
2007-12-06 01:05:49,173 km,3.6 Ml,2007-12-05,22:05:49,28 km al S de Ollagüe,-21.467,-68.172
2010-03-08 17:24:17,10 km,4.1 Ml,2010-03-08,14:24:17,26 km al N de Vichuquén,-34.661,-72.081
2011-07-05 15:21:53,137 km,3.0 Ml,2011-07-05,11:21:53,76 km al N de Calama,-21.798,-68.819
2021-08-14 06:10:04,41 km,3.1 Ml,2021-08-14,02:10:04,15 km al SE de Valdivia,-39.940,-73.188
2014-09-07 23:37:32,100 km,3.3 Ml,2014-09-07,20:37:32,38 km al E de Pica,-20.459,-68.966
2018-02-25 17:14:12,136 km,3.1 Ml,2018-02-25,14:14:12,33 km al S de Mina Collahuasi,-21.115,-68.597
2021-05-28 23:40:56,114 km,4.4 Ml,2021-05-28,19:40:56,39 km al E de Los Andes.,-32.810,-70.180
2013-06-28 04:01:33,39 km,3.1 Ml,2013-06-28,00:01:33,96 km al SE de Alto del Carmen,-29.401,-69.827
2018-01-30 17:46:21,13 km,3.1 Ml,2018-01-30,14:46:21,104 km al O de Cobquecura,-35.795,-73.868
2008-05-02 05:49:08,106 km,2.6 Ml,2008-05-02,01:49:08,30 km al SE de Sierra Gorda.,-23.041,-69.062
2022-10-13 12:00:39,31 km,3.6 Ml,2022-10-13,09:00:39,65 km al NO de ValparaÃ­so,-32.631,-72.103
2012-09-29 10:05:59,30 km,2.8 Ml,2012-09-29,07:05:59,55 km al NO de Pichilemu,-34.053,-72.452
2010-07-06 06:46:55,11 km,2.8 Ml,2010-07-06,02:46:55,36 km al N de Constitución,-35.014,-72.336
2023-06-22 23:24:37,99 km,3.6 Ml,2023-06-22,19:24:37,60 km al S de Putre,-18.727,-69.657
